Core: LPDDR2x32_example_if0_p0 - Instance: if0
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.226,0.272
"Bus Turnaround Time (Slow 1100mV 85C Model)",4.97,--
"Core (Slow 1100mV 85C Model)",-0.069,0.16
"Core Recovery/Removal (Slow 1100mV 85C Model)",-5.738,-0.078
"DQS vs CK (Slow 1100mV 85C Model)",0.525,0.677
"Read Capture (Slow 1100mV 85C Model)",0.252,0.205
"Write (Slow 1100mV 85C Model)",0.223,0.223
"Address Command (Slow 1100mV 0C Model)",0.2,0.272
"Bus Turnaround Time (Slow 1100mV 0C Model)",5.012,--
"Core (Slow 1100mV 0C Model)",0.0,0.21
"Core Recovery/Removal (Slow 1100mV 0C Model)",-5.312,-0.425
"DQS vs CK (Slow 1100mV 0C Model)",0.564,0.717
"Read Capture (Slow 1100mV 0C Model)",0.263,0.216
"Write (Slow 1100mV 0C Model)",0.233,0.233
"Address Command (Fast 1100mV 85C Model)",0.086,0.168
"Bus Turnaround Time (Fast 1100mV 85C Model)",5.394,--
"Core (Fast 1100mV 85C Model)",1.195,0.139
"Core Recovery/Removal (Fast 1100mV 85C Model)",-3.697,0.096
"DQS vs CK (Fast 1100mV 85C Model)",0.931,1.098
"Read Capture (Fast 1100mV 85C Model)",0.426,0.379
"Write (Fast 1100mV 85C Model)",0.281,0.281
"Address Command (Fast 1100mV 0C Model)",0.047,0.198
"Bus Turnaround Time (Fast 1100mV 0C Model)",5.389,--
"Core (Fast 1100mV 0C Model)",1.281,0.124
"Core Recovery/Removal (Fast 1100mV 0C Model)",-3.166,-0.187
"DQS vs CK (Fast 1100mV 0C Model)",0.927,1.105
"Read Capture (Fast 1100mV 0C Model)",0.43,0.383
"Write (Fast 1100mV 0C Model)",0.283,0.283
